queue_id,queued_at,source,outcome,duration,requested_media_type
68058f1a9c69,27/02/21 13:40,button_embed,finished,189,text
68058f1a9c69,27/02/21 13:47,button_embed,finished,8,text
68058f1a9c69,27/02/21 13:49,button_embed,canceled,141,text
68058f1a9c69,27/02/21 13:50,button_embed,disconnected,422,text
68058f1a9c69,27/02/21 13:52,tab,finished,288,text
68058f1a9c69,27/02/21 13:52,button_embed,finished,283,text
68058f1a9c69,27/02/21 13:54,button_embed,finished,48,text
68058f1a9c69,27/02/21 13:57,button_embed,finished,25,text
68058f1a9c69,27/02/21 13:58,button_embed,canceled,251,text
68058f1a9c69,27/02/21 13:59,button_embed,finished,493,text
68058f1a9c69,27/02/21 14:00,button_embed,disconnected,474,text
68058f1a9c69,27/02/21 14:00,button_embed,finished,574,text
68058f1a9c69,27/02/21 14:01,button_embed,finished,11,text
68058f1a9c69,27/02/21 14:03,button_embed,canceled,115,text
68058f1a9c69,27/02/21 14:03,button_embed,canceled,11,text
68058f1a9c69,27/02/21 14:03,button_embed,finished,342,text
68058f1a9c69,27/02/21 14:05,button_embed,canceled,57,text
68058f1a9c69,27/02/21 14:06,button_embed,canceled,7,text
68058f1a9c69,27/02/21 14:06,button_embed,canceled,88,text
68058f1a9c69,27/02/21 14:06,button_embed,canceled,370,text
68058f1a9c69,27/02/21 14:07,button_embed,finished,290,text
68058f1a9c69,27/02/21 14:07,button_embed,canceled,11,text
68058f1a9c69,27/02/21 14:07,button_embed,disconnected,147,text
68058f1a9c69,27/02/21 14:08,button_embed,canceled,29,text
68058f1a9c69,27/02/21 14:08,button_embed,finished,313,text
68058f1a9c69,27/02/21 14:09,button_embed,canceled,89,text
68058f1a9c69,27/02/21 14:09,button_embed,disconnected,540,text
68058f1a9c69,27/02/21 14:09,button_embed,canceled,27,text
68058f1a9c69,27/02/21 14:10,button_embed,canceled,8,text
68058f1a9c69,27/02/21 14:10,button_embed,disconnected,195,text
68058f1a9c69,27/02/21 14:10,button_embed,disconnected,305,text
68058f1a9c69,27/02/21 14:11,button_embed,canceled,34,text
68058f1a9c69,27/02/21 14:11,button_embed,canceled,15,text
68058f1a9c69,27/02/21 14:11,button_embed,finished,643,text
68058f1a9c69,27/02/21 14:12,tab,disconnected,631,text
68058f1a9c69,27/02/21 14:12,button_embed,finished,378,text
68058f1a9c69,27/02/21 14:13,button_embed,finished,682,text
68058f1a9c69,27/02/21 14:13,button_embed,canceled,42,text
68058f1a9c69,27/02/21 14:14,tab,finished,263,text
68058f1a9c69,27/02/21 14:15,button_embed,canceled,4,text
68058f1a9c69,27/02/21 14:15,button_embed,disconnected,149,text
68058f1a9c69,27/02/21 14:16,button_embed,canceled,21,text
68058f1a9c69,27/02/21 14:17,button_embed,canceled,172,text
68058f1a9c69,27/02/21 14:19,tab,canceled,66,text
68058f1a9c69,27/02/21 14:21,button_embed,canceled,8,text
68058f1a9c69,27/02/21 14:21,tab,canceled,461,text
68058f1a9c69,27/02/21 14:21,button_embed,finished,391,text
68058f1a9c69,27/02/21 14:21,button_embed,disconnected,263,text
68058f1a9c69,27/02/21 14:22,button_embed,finished,288,text
68058f1a9c69,27/02/21 14:22,button_embed,disconnected,119,text
68058f1a9c69,27/02/21 14:22,button_embed,finished,511,text
68058f1a9c69,27/02/21 14:23,tab,finished,90,text
68058f1a9c69,27/02/21 14:24,button_embed,canceled,26,text
68058f1a9c69,27/02/21 14:25,button_embed,canceled,79,text
68058f1a9c69,27/02/21 14:26,button_embed,disconnected,145,text
68058f1a9c69,27/02/21 14:27,button_embed,finished,572,text
68058f1a9c69,27/02/21 14:27,tab,canceled,19,text
68058f1a9c69,27/02/21 14:27,button_embed,canceled,5,text
68058f1a9c69,27/02/21 14:27,button_embed,disconnected,279,text
68058f1a9c69,27/02/21 14:28,tab,canceled,19,text
68058f1a9c69,27/02/21 14:28,tab,canceled,426,text
68058f1a9c69,27/02/21 14:28,button_embed,finished,125,text
68058f1a9c69,27/02/21 14:28,button_embed,finished,286,text
68058f1a9c69,27/02/21 14:28,button_embed,disconnected,147,text
68058f1a9c69,27/02/21 14:29,button_embed,disconnected,363,text
68058f1a9c69,27/02/21 14:35,button_embed,canceled,17,text
68058f1a9c69,27/02/21 14:35,tab,finished,230,text
68058f1a9c69,27/02/21 14:36,tab,finished,338,text
68058f1a9c69,27/02/21 14:37,button_embed,disconnected,212,text
68058f1a9c69,27/02/21 14:38,button_embed,finished,527,text
68058f1a9c69,27/02/21 14:38,button_embed,canceled,59,text
68058f1a9c69,27/02/21 14:38,button_embed,finished,168,text
68058f1a9c69,27/02/21 14:38,button_embed,finished,307,text
68058f1a9c69,27/02/21 14:40,button_embed,canceled,15,text
68058f1a9c69,27/02/21 14:41,button_embed,disconnected,155,text
68058f1a9c69,27/02/21 14:42,button_embed,disconnected,140,text
68058f1a9c69,27/02/21 14:42,tab,finished,241,text
68058f1a9c69,27/02/21 14:42,button_embed,disconnected,290,text
68058f1a9c69,27/02/21 14:43,button_embed,canceled,11,text
68058f1a9c69,27/02/21 14:43,button_embed,canceled,12,text
68058f1a9c69,27/02/21 14:43,button_embed,canceled,9,text
68058f1a9c69,27/02/21 14:43,button_embed,canceled,101,text
68058f1a9c69,27/02/21 14:44,button_embed,canceled,21,text
68058f1a9c69,27/02/21 14:45,button_embed,canceled,239,text
68058f1a9c69,27/02/21 14:47,tab,finished,129,text
68058f1a9c69,27/02/21 14:47,button_embed,finished,375,text
68058f1a9c69,27/02/21 14:48,button_embed,finished,292,text
68058f1a9c69,27/02/21 14:48,button_embed,canceled,7,text
68058f1a9c69,27/02/21 14:49,button_embed,disconnected,817,text
68058f1a9c69,27/02/21 14:49,button_embed,canceled,17,text
68058f1a9c69,27/02/21 14:49,tab,canceled,8,text
68058f1a9c69,27/02/21 14:50,button_embed,finished,124,text
68058f1a9c69,27/02/21 14:51,tab,finished,615,text
68058f1a9c69,27/02/21 14:51,button_embed,finished,480,text
68058f1a9c69,27/02/21 14:52,button_embed,finished,428,text
68058f1a9c69,27/02/21 14:53,button_embed,canceled,13,text
68058f1a9c69,27/02/21 14:53,button_embed,canceled,7,text
68058f1a9c69,27/02/21 14:54,button_embed,disconnected,204,text
68058f1a9c69,27/02/21 14:55,button_embed,disconnected,198,text
68058f1a9c69,27/02/21 14:56,button_embed,canceled,574,text
68058f1a9c69,27/02/21 14:57,button_embed,canceled,104,text
68058f1a9c69,27/02/21 14:59,button_embed,canceled,110,text
68058f1a9c69,27/02/21 14:59,button_embed,canceled,181,text
68058f1a9c69,27/02/21 14:59,tab,finished,325,text
68058f1a9c69,27/02/21 15:02,button_embed,finished,531,text
68058f1a9c69,27/02/21 15:02,tab,disconnected,130,text
68058f1a9c69,27/02/21 15:02,button_embed,disconnected,241,text
68058f1a9c69,27/02/21 15:04,button_embed,canceled,29,text
68058f1a9c69,27/02/21 15:04,button_embed,disconnected,210,text
68058f1a9c69,27/02/21 15:05,button_embed,disconnected,272,text
68058f1a9c69,27/02/21 15:05,button_embed,canceled,23,text
68058f1a9c69,27/02/21 15:06,tab,finished,871,text
68058f1a9c69,27/02/21 15:06,tab,finished,515,text
68058f1a9c69,27/02/21 15:06,tab,canceled,11,text
68058f1a9c69,27/02/21 15:08,tab,disconnected,245,text
68058f1a9c69,27/02/21 15:09,button_embed,finished,554,text
68058f1a9c69,27/02/21 15:09,button_embed,canceled,87,text
68058f1a9c69,27/02/21 15:09,button_embed,canceled,15,text
68058f1a9c69,27/02/21 15:11,button_embed,canceled,85,text
68058f1a9c69,27/02/21 15:11,button_embed,canceled,44,text
68058f1a9c69,27/02/21 15:11,button_embed,disconnected,212,text
68058f1a9c69,27/02/21 15:12,button_embed,finished,732,text
68058f1a9c69,27/02/21 15:13,button_embed,finished,901,text
68058f1a9c69,27/02/21 15:13,button_embed,disconnected,395,text
68058f1a9c69,27/02/21 15:15,tab,canceled,143,text
68058f1a9c69,27/02/21 15:16,button_embed,disconnected,95,text
68058f1a9c69,27/02/21 15:17,tab,finished,989,text
68058f1a9c69,27/02/21 15:17,button_embed,canceled,93,text
68058f1a9c69,27/02/21 15:17,button_embed,canceled,11,text
68058f1a9c69,27/02/21 15:17,button_embed,finished,799,text
68058f1a9c69,27/02/21 15:17,tab,finished,1043,text
68058f1a9c69,27/02/21 15:18,button_embed,canceled,11,text
68058f1a9c69,27/02/21 15:20,button_embed,finished,600,text
68058f1a9c69,27/02/21 15:21,button_embed,disconnected,79,text
68058f1a9c69,27/02/21 15:22,button_embed,disconnected,161,text
68058f1a9c69,27/02/21 15:22,tab,finished,615,text
68058f1a9c69,27/02/21 15:22,button_embed,canceled,7,text
68058f1a9c69,27/02/21 15:23,button_embed,canceled,35,text
68058f1a9c69,27/02/21 15:23,button_embed,canceled,7,text
68058f1a9c69,27/02/21 15:24,button_embed,canceled,102,text
68058f1a9c69,27/02/21 15:25,button_embed,disconnected,143,text
68058f1a9c69,27/02/21 15:25,button_embed,disconnected,358,text
68058f1a9c69,27/02/21 15:25,button_embed,disconnected,327,text
68058f1a9c69,27/02/21 15:27,button_embed,disconnected,296,text
68058f1a9c69,27/02/21 15:29,button_embed,canceled,63,text
68058f1a9c69,27/02/21 15:29,button_embed,canceled,20,text
68058f1a9c69,27/02/21 15:29,button_embed,canceled,16,text
68058f1a9c69,27/02/21 15:29,tab,canceled,8,text
68058f1a9c69,27/02/21 15:30,button_embed,disconnected,300,text
68058f1a9c69,27/02/21 15:30,tab,finished,421,text
68058f1a9c69,27/02/21 15:31,button_embed,canceled,6,text
68058f1a9c69,27/02/21 15:31,button_embed,finished,820,text
68058f1a9c69,27/02/21 15:32,button_embed,disconnected,912,text
68058f1a9c69,27/02/21 15:32,button_embed,canceled,21,text
68058f1a9c69,27/02/21 15:32,tab,finished,339,text
68058f1a9c69,27/02/21 15:33,button_embed,canceled,65,text
68058f1a9c69,27/02/21 15:33,tab,finished,446,text
68058f1a9c69,27/02/21 15:33,button_embed,disconnected,545,text
68058f1a9c69,27/02/21 15:33,tab,canceled,10,text
68058f1a9c69,27/02/21 15:34,button_embed,canceled,75,text
68058f1a9c69,27/02/21 15:34,button_embed,finished,591,text
68058f1a9c69,27/02/21 15:35,button_embed,canceled,91,text
68058f1a9c69,27/02/21 15:36,tab,finished,719,text
68058f1a9c69,27/02/21 15:36,tab,canceled,28,text
68058f1a9c69,27/02/21 15:36,button_embed,disconnected,175,text
68058f1a9c69,27/02/21 15:38,button_embed,disconnected,495,text
68058f1a9c69,27/02/21 15:38,button_embed,canceled,141,text
68058f1a9c69,27/02/21 15:38,button_embed,canceled,94,text
68058f1a9c69,27/02/21 15:41,tab,finished,709,text
68058f1a9c69,27/02/21 15:41,button_embed,disconnected,737,text
68058f1a9c69,27/02/21 15:41,button_embed,canceled,47,text
68058f1a9c69,27/02/21 15:42,button_embed,finished,577,text
68058f1a9c69,27/02/21 15:42,tab,disconnected,542,text
68058f1a9c69,27/02/21 15:42,tab,canceled,10,text
68058f1a9c69,27/02/21 15:43,button_embed,disconnected,109,text
68058f1a9c69,27/02/21 15:44,button_embed,canceled,19,text
68058f1a9c69,27/02/21 15:44,button_embed,disconnected,296,text
68058f1a9c69,27/02/21 15:46,button_embed,finished,386,text
68058f1a9c69,27/02/21 15:46,button_embed,canceled,16,text
68058f1a9c69,27/02/21 15:46,button_embed,finished,411,text
68058f1a9c69,27/02/21 15:46,button_embed,finished,650,text
68058f1a9c69,27/02/21 15:46,button_embed,disconnected,98,text
68058f1a9c69,27/02/21 15:46,button_embed,canceled,3,text
68058f1a9c69,27/02/21 15:47,button_embed,disconnected,966,text
68058f1a9c69,27/02/21 15:47,button_embed,canceled,916,text
68058f1a9c69,27/02/21 15:48,button_embed,disconnected,168,text
68058f1a9c69,27/02/21 15:48,button_embed,disconnected,152,text
68058f1a9c69,27/02/21 15:50,button_embed,disconnected,153,text
68058f1a9c69,27/02/21 15:50,button_embed,finished,568,text
68058f1a9c69,27/02/21 15:50,button_embed,disconnected,115,text
68058f1a9c69,27/02/21 15:51,tab,canceled,9,text
68058f1a9c69,27/02/21 15:52,tab,finished,532,text
68058f1a9c69,27/02/21 15:53,button_embed,canceled,95,text
68058f1a9c69,27/02/21 15:53,button_embed,canceled,32,text
68058f1a9c69,27/02/21 15:53,tab,canceled,7,text
68058f1a9c69,27/02/21 15:54,button_embed,finished,363,text
68058f1a9c69,27/02/21 15:54,button_embed,finished,737,text
68058f1a9c69,27/02/21 15:54,button_embed,canceled,3,text
68058f1a9c69,27/02/21 15:54,button_embed,finished,552,text
68058f1a9c69,27/02/21 15:54,button_embed,canceled,11,text
68058f1a9c69,27/02/21 15:55,tab,finished,713,text
68058f1a9c69,27/02/21 15:55,button_embed,disconnected,62,text
68058f1a9c69,27/02/21 15:55,tab,disconnected,374,text
68058f1a9c69,27/02/21 15:55,button_embed,disconnected,122,text
68058f1a9c69,27/02/21 15:57,button_embed,canceled,9,text
68058f1a9c69,27/02/21 15:58,button_embed,canceled,46,text
68058f1a9c69,27/02/21 15:59,tab,finished,464,text
68058f1a9c69,27/02/21 16:00,button_embed,disconnected,110,text
68058f1a9c69,27/02/21 16:01,button_embed,disconnected,182,text
68058f1a9c69,27/02/21 16:02,button_embed,canceled,50,text
68058f1a9c69,27/02/21 16:02,button_embed,finished,760,text
68058f1a9c69,27/02/21 16:02,button_embed,canceled,35,text
68058f1a9c69,27/02/21 16:02,button_embed,disconnected,366,text
68058f1a9c69,27/02/21 16:03,button_embed,disconnected,228,text
68058f1a9c69,27/02/21 16:03,button_embed,canceled,12,text
68058f1a9c69,27/02/21 16:04,button_embed,canceled,26,text
68058f1a9c69,27/02/21 16:05,button_embed,disconnected,259,text
68058f1a9c69,27/02/21 16:05,button_embed,canceled,13,text
68058f1a9c69,27/02/21 16:06,button_embed,finished,409,text
68058f1a9c69,27/02/21 16:06,button_embed,disconnected,59,text
68058f1a9c69,27/02/21 16:06,button_embed,disconnected,180,text
68058f1a9c69,27/02/21 16:07,button_embed,canceled,14,text
68058f1a9c69,27/02/21 16:07,tab,canceled,9,text
68058f1a9c69,27/02/21 16:07,button_embed,finished,388,text
68058f1a9c69,27/02/21 16:07,button_embed,disconnected,121,text
68058f1a9c69,27/02/21 16:08,button_embed,disconnected,76,text
68058f1a9c69,27/02/21 16:08,button_embed,disconnected,593,text
